0	AAR CORP reports earnings for Qtr to Nov 30	1987-01-01	http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71739F932A35752C0A961948260	LEAD:\n*3*** COMPANY REPORTS **\n*3*AAR CORP (NYSE)\nQtr to Nov 30\n1986\n1985\nSales\n75,907,000\n61,040,000\nNet inc\n3,953,000\n2,858,000\nShare earns\n.38\n.32\nShares outst\n10,479,000\n9,069,000\n6mo sales\n142,283,000\n114,876,000\nNet inc\n7,054,000\n5,300,000\nShare earns\n.71\n.59\nShares outst\n9,932,000\n9,066,000\n*3*** COMPANY REPORTS **\n*3*AAR CORP (NYSE)\nQtr to Nov 30\n1986\n1985\nSales\n75,907,000\n61,040,000\nNet inc\n3,953,000\n2,858,000\nShare earns\n.38\n.32\nShares outst\n10,479,000\n9,069,000\n6mo sales\n142,283,000\n114,876,000\nNet inc\n7,054,000\n5,300,000\nShare earns\n.71\n.59\nShares outst\n9,932,000\n9,066,000\nThe 1985 share earnings and shares outstanding are adjusted for the 3-for- 2 stock split\n in February 1986.\nThe company said the 1986 shares outstanding reflects the pro rata effect of the issuance\n of 1.35 million shares in public offering in August 1986.
1	AMERICAN CYTOGENETICS reports earnings for Qtr to Oct 31	1987-01-01	http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71439F932A35752C0A961948260	LEAD:\n*3*** COMPANY REPORTS **\n*3*AMERICAN CYTOGENETICS (OTC)\nQtr to Oct 31\n1986\n1985\nRevenue\n1,300,000\n1,100,000\nNet loss\n26,000\nb14,463\nShare earns\n-\n.01\n9mo rev\n3,850,000\n3,000,000\nNet inc\n30,144\n28,545\nShare earns\n.01\n.01\nb-Net income\n*3*** COMPANY REPORTS **\n*3*AMERICAN CYTOGENETICS (OTC)\nQtr to Oct 31\n1986\n1985\nRevenue\n1,300,000\n1,100,000\nNet loss\n26,000\nb14,463\nShare earns\n-\n.01\n9mo rev\n3,850,000\n3,000,000\nNet inc\n30,144\n28,545\nShare earns\n.01\n.01\nb-Net income
2	APPLIED POWER reports earnings for Qtr to Nov 30	1987-01-01	http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71539F932A35752C0A961948260	LEAD:\n*3*** COMPANY REPORTS **\n*3*APPLIED POWER (OTC)\nQtr to Nov 30\n1986\n1985\nSales\n40,591,000\n37,109,000\nNet inc\n1,324,000\n636,000\nShare earns\n.80\n.36\nShares outst\n1,664,826\n1,523,317\n*3*** COMPANY REPORTS **\n*3*APPLIED POWER (OTC)\nQtr to Nov 30\n1986\n1985\nSales\n40,591,000\n37,109,000\nNet inc\n1,324,000\n636,000\nShare earns\n.80\n.36\nShares outst\n1,664,826\n1,523,317
3	BARRETT RESOURCES reports earnings for Year to Sept 30	1987-01-01	http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71239F932A35752C0A961948260	LEAD:\n*3*** COMPANY REPORTS **\n*3*BARRETT RESOURCES (OTC)\nYear to Sept 30\n1986\n1985\nRevenue\n4,516,000\n2,582,000\nNet loss\n2,622,000\nb121,000\nb-Net income and includes an extraordinary tax credit of $27,000.\nThe 1986 figures include the results of Excel Energy Corp.\n*3*** COMPANY REPORTS **\n*3*BARRETT RESOURCES (OTC)\nYear to Sept 30\n1986\n1985\nRevenue\n4,516,000\n2,582,000\nNet loss\n2,622,000\nb121,000\nb-Net income and includes an extraordinary tax credit of $27,000.\nThe 1986 figures include the results of Excel Energy Corp. since Nov. 7, 1985.
4	CANAVERAL INTERNATIONAL reports earnings for Year to Sept 30	1987-01-01	http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71339F932A35752C0A961948260	LEAD:\n*3*** COMPANY REPORTS **\n*3*CANAVERAL INTERNATIONAL (OTC)\nYear to Sept 30\n1986\n1985\nRevenue\n2,592,061\n849,858\nNet inc\n371,285\nb638,620\nShare earns\n.12\n.19\nShares outst\n3,182,122\n3,332,176\nb-After an extraordinary gain on extinguishment of debt of $862,575.\n*3*** COMPANY REPORTS **\n*3*CANAVERAL INTERNATIONAL (OTC)\nYear to Sept 30\n1986\n1985\nRevenue\n2,592,061\n849,858\nNet inc\n371,285\nb638,620\nShare earns\n.12\n.19\nShares outst\n3,182,122\n3,332,176\nb-After an extraordinary gain on extinguishment of debt of $862,575.
5	CERTRON CORP reports earnings for Year to Oct 31	1987-01-01	http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71039F932A35752C0A961948260	LEAD:\n*3*** COMPANY REPORTS **\n*3*CERTRON CORP (OTC)\nYear to Oct 31\n1986\n1985\nNet inc\nb333,000\nc133,000\nShare earns\n.11\n-\nb-Includes a $123,000 charge related to the costs of closing of a manufacturing facility and a tax benefit of $246,000.\nc-Net loss includes a $553,000 charge related to the costs of closing of a manufacturing facility.\n*3*** COMPANY REPORTS **\n*3*CERTRON CORP (OTC)\nYear to Oct 31\n1986\n1985\nNet inc\nb333,000\nc133,000\nShare earns\n.11\n-\nb-Includes a $123,000 charge related to the costs of closing of a manufacturing facility and a tax benefit of $246,000.\nc-Net loss includes a $553,000 charge related to the costs of closing of a manufacturing facility.
6	COMMERCIAL METALS reports earnings for Qtr to Nov 30	1987-01-01	http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71139F932A35752C0A961948260	LEAD:\n*3*** COMPANY REPORTS **\n*3*COMMERCIAL METALS (NYSE)\nQtr to Nov 30\n1986\n1985\nRevenue\n208,254,000\n202,338,000\nNet inc\n1,525,000\n3,058,000\nShare earns\n.17\n.35\nShares outst\n8,948,481\n8,837,367\n*3*** COMPANY REPORTS **\n*3*COMMERCIAL METALS (NYSE)\nQtr to Nov 30\n1986\n1985\nRevenue\n208,254,000\n202,338,000\nNet inc\n1,525,000\n3,058,000\nShare earns\n.17\n.35\nShares outst\n8,948,481\n8,837,367
7	CSP INC reports earnings for Qtr to Nov 30	1987-01-01	http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71E39F932A35752C0A961948260	LEAD:\n*3*** COMPANY REPORTS **\n*3*CSP INC (OTC)\nQtr to Nov 30\n1986\n1985\nSales\n2,523,000\n3,998,000\nNet inc\n199,000\n608,000\nShare earns\n.07\n.21\n*3*** COMPANY REPORTS **\n*3*CSP INC (OTC)\nQtr to Nov 30\n1986\n1985\nSales\n2,523,000\n3,998,000\nNet inc\n199,000\n608,000\nShare earns\n.07\n.21
8	DAMSON OIL reports earnings for Qtr to Sept 30	1987-01-01	http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71F39F932A35752C0A961948260	LEAD:\n*3*** COMPANY REPORTS **\n*3*DAMSON OIL (AMEX)\nQtr to Sept 30\n1986\n1985\nRevenue\n7,300,000\n20,900,000\nNet loss\n13,800,000\n5,300,000\nYr rev\n49,400,000\n89,000,000\nNet loss\nb74,600,000\n1,300,000\nb-Includes a pre-tax writedown of about $77.1 million associated primarily with its oil and gas properties and related assets.\n*3*** COMPANY REPORTS **\n*3*DAMSON OIL (AMEX)\nQtr to Sept 30\n1986\n1985\nRevenue\n7,300,000\n20,900,000\nNet loss\n13,800,000\n5,300,000\nYr rev\n49,400,000\n89,000,000\nNet loss\nb74,600,000\n1,300,000\nb-Includes a pre-tax writedown of about $77.1 million associated primarily with its oil and gas properties and related assets.
9	ELECTRO AUDIO DYNAMICS reports earnings for Qtr to Nov 1	1987-01-01	http://query.nytimes.com/gst/fullpage.html?res=9D05E0D71638F932A35752C0A961948260	LEAD:\n*3*** COMPANY REPORTS **\n*3*ELECTRO AUDIO DYNAMICS (AMEX)\nQtr to Nov 1\n1986\n1985\nSales\n18,304,000\n1,409,000\nNet loss\n430,000\nb685,000\nShares outst\n6,102,805\n3,709,250\nb-After income from discontinued operations of $315,000.\nThe results of operations for the year-ago quarter do not include Action Drug Company which was acquired by Technodyne Inc.\n*3*** COMPANY REPORTS **\n*3*ELECTRO AUDIO DYNAMICS (AMEX)\nQtr to Nov 1\n1986\n1985\nSales\n18,304,000\n1,409,000\nNet loss\n430,000\nb685,000\nShares outst\n6,102,805\n3,709,250\nb-After income from discontinued operations of $315,000.\nThe results of operations for the year-ago quarter do not include Action Drug Company which was acquired by Technodyne Inc. as of Aug. 29, 1986.
